Respondent_ID,City,Age_Bracket,Monthly_Income,Fair_Price_Bundle,Avg_Spend_Order,Orders_Per_Week,Weekly_Workouts,Dietary_Style,Drink_Preference,Favourite_Flavours,Spirits_Enjoyed,Likely_Try_30_Days
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Pune,18-24,28278,1000,925,2,2,Low-carb,Both,"Smoky, Fruity, Citrusy","Vodka, None",Yes
23b8c1e9-3924-46de-beb1-3b9046685257,Delhi,55+,103907,800,1087,2,6,High-protein,Cocktails,"Citrusy, Fruity, Herbal","Whiskey, Rum, Tequila",Yes
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Bangalore,18-24,37156,1100,849,3,5,Vegan,Cocktails,Herbal,"Vodka, Whiskey, None",Maybe
972a8469-1641-4f82-8b9d-2434e465e150,Pune,55+,72400,1200,898,1,0,High-protein,Cocktails,Spicy,Whiskey,Yes
17fc695a-07a0-4a6e-8822-e8f36c031199,Pune,35-44,46319,1000,981,2,4,Low-carb,Both,"Spicy, Smoky, Fruity","Whiskey, Rum",No
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Pune,55+,53785,1000,1231,1,3,Low-carb,Cocktails,"Citrusy, Fruity",Tequila,No
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Bangalore,25-34,110909,1100,1002,4,2,Balanced,Mocktails,Smoky,"Rum, Tequila, Whiskey",No
6b65a6a4-8b81-48f6-b38a-088ca65ed389,Hyderabad,35-44,53746,900,1060,4,1,Low-carb,Mocktails,Spicy,"Whiskey, Tequila, Vodka",Yes
47378190-96da-4dac-b2ff-5d2a386ecbe0,Chennai,45-54,94352,1000,1297,5,0,Low-carb,Both,"Citrusy, Smoky, Fruity","Whiskey, Gin",Yes
c241330b-01a9-471f-9e8a-774bcf36d58b,Pune,35-44,90612,900,1059,1,4,Vegan,Both,Spicy,"Gin, Tequila",No
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Chennai,18-24,103504,1000,1050,1,1,Balanced,Cocktails,Fruity,Tequila,No
371ecd7b-27cd-4130-8722-9389571aa876,Mumbai,45-54,34071,1200,1192,2,2,Keto,Both,Citrusy,"Tequila, Whiskey, Gin",No
