Customer ID,Age,Gender,City,Income Bracket,Preferred Cuisines,Mocktail Preference,Cocktail Preference,Order Frequency,Satisfaction (1-5),Spend per Order,Repeat Order,Order Influence,Delivery Issues
1,56,Male,Bangalore,<₹20k,"Thai, Continental",Minty Lime,Margarita,Occasionally,2,889.0,Yes,Friend Referral,Wrong Order
2,46,Other,Delhi,₹60k–80k,"Chinese, Italian, Indian",Minty Lime,Margarita,Rarely,2,868.0,Yes,Google Search,Late Delivery
3,32,Male,Hyderabad,₹40k–60k,"Indian, Continental, Italian",Minty Lime,Whiskey Sour,Occasionally,2,860.0,Yes,"Instagram, Zomato","High Price, Late Delivery"
4,25,Female,Hyderabad,₹60k–80k,"Chinese, Italian",Minty Lime,Gin & Tonic,Occasionally,3,1142.0,Yes,Swiggy Ads,High Price
5,38,Other,Chennai,₹60k–80k,"Indian, Mexican, Chinese",Virgin Mojito,Gin & Tonic,Rarely,2,1045.0,Yes,Instagram,"Wrong Order, None"
6,56,Other,Hyderabad,₹20k–40k,"Italian, Indian, Chinese",Virgin Mojito,Rum Punch,Frequently,4,960.0,Yes,Friend Referral,Small Portion
7,36,Other,Delhi,<₹20k,Mexican,Minty Lime,Rum Punch,Frequently,3,780.0,No,"Google Search, Zomato","Wrong Order, High Price"
8,40,Other,Delhi,₹80k+,Chinese,Fruit Fizz,Margarita,Occasionally,5,966.0,Yes,Instagram,"High Price, Wrong Order"
9,28,Female,Hyderabad,<₹20k,"Italian, Indian, Chinese",Virgin Mojito,Whiskey Sour,Rarely,1,1052.0,Yes,Zomato,"Wrong Order, Small Portion"
10,28,Other,Delhi,₹80k+,"Chinese, Thai",Spicy Guava,Margarita,Frequently,2,1060.0,Yes,"Instagram, Friend Referral",Small Portion
11,41,Other,Chennai,<₹20k,"Thai, Indian, Continental",Virgin Mojito,Rum Punch,Occasionally,5,1032.0,No,"Instagram, Friend Referral","None, Small Portion"
12,53,Male,Mumbai,₹60k–80k,"Chinese, Indian",Spicy Guava,Whiskey Sour,Occasionally,4,815.0,No,"Zomato, Instagram, Swiggy Ads",Small Portion
13,57,Other,Chennai,₹40k–60k,"Indian, Chinese",Minty Lime,Whiskey Sour,Rarely,1,519.0,No,Friend Referral,"Wrong Order, None"
14,41,Female,Chennai,₹40k–60k,"Italian, Chinese, Mexican",Virgin Mojito,Rum Punch,Occasionally,5,1360.0,Yes,Friend Referral,"High Price, Wrong Order"
15,20,Female,Delhi,₹20k–40k,Italian,Fruit Fizz,Gin & Tonic,Frequently,1,738.0,Yes,"Instagram, Zomato","Wrong Order, High Price"
16,39,Female,Mumbai,₹80k+,"Indian, Chinese",Virgin Mojito,Gin & Tonic,Rarely,2,607.0,No,Friend Referral,Small Portion
17,19,Female,Delhi,₹80k+,Thai,Virgin Mojito,Whiskey Sour,Frequently,4,1026.0,Yes,"Swiggy Ads, Google Search","Small Portion, Wrong Order"
18,41,Other,Bangalore,₹80k+,Thai,Virgin Mojito,Margarita,Frequently,1,658.0,Yes,"Friend Referral, Swiggy Ads",High Price
19,47,Other,Delhi,₹60k–80k,"Italian, Mexican, Continental",Minty Lime,Gin & Tonic,Frequently,5,839.0,No,"Zomato, Friend Referral","Late Delivery, Small Portion"
20,55,Female,Delhi,₹80k+,Continental,Fruit Fizz,Margarita,Occasionally,2,1110.0,Yes,"Zomato, Google Search, Friend Referral","High Price, Late Delivery"
21,19,Female,Delhi,₹40k–60k,"Italian, Mexican, Indian",Virgin Mojito,Gin & Tonic,Occasionally,2,1355.0,Yes,"Swiggy Ads, Friend Referral","High Price, Small Portion"
22,38,Other,Mumbai,₹60k–80k,"Mexican, Continental",Fruit Fizz,Gin & Tonic,Frequently,5,1078.0,Yes,"Instagram, Friend Referral, Zomato","High Price, Late Delivery"
23,50,Female,Delhi,<₹20k,"Chinese, Mexican",Minty Lime,Margarita,Frequently,5,912.0,Yes,"Zomato, Swiggy Ads","Small Portion, Wrong Order"
24,29,Male,Mumbai,₹80k+,"Thai, Indian",Spicy Guava,Rum Punch,Rarely,1,990.0,Yes,Swiggy Ads,None
25,39,Female,Hyderabad,₹80k+,"Continental, Mexican, Indian",Virgin Mojito,Gin & Tonic,Rarely,3,638.0,Yes,Friend Referral,Late Delivery
26,42,Female,Bangalore,<₹20k,"Mexican, Chinese, Thai",Fruit Fizz,Gin & Tonic,Occasionally,2,910.0,No,Friend Referral,None
27,44,Male,Mumbai,₹80k+,Continental,Fruit Fizz,Margarita,Occasionally,1,910.0,Yes,"Swiggy Ads, Instagram, Google Search","High Price, Late Delivery"
28,59,Male,Hyderabad,<₹20k,Indian,Minty Lime,Rum Punch,Rarely,5,1031.0,No,"Zomato, Friend Referral",Small Portion
29,45,Other,Mumbai,₹60k–80k,Mexican,Virgin Mojito,Gin & Tonic,Frequently,1,1388.0,Yes,Swiggy Ads,"Late Delivery, None"
30,33,Other,Mumbai,₹40k–60k,Chinese,Spicy Guava,Gin & Tonic,Occasionally,5,613.0,Yes,Swiggy Ads,Late Delivery
31,32,Male,Bangalore,<₹20k,"Italian, Chinese, Continental",Fruit Fizz,Rum Punch,Frequently,4,918.0,No,Friend Referral,Late Delivery
32,20,Male,Chennai,₹20k–40k,"Continental, Mexican, Italian",Virgin Mojito,Gin & Tonic,Rarely,5,633.0,No,Instagram,"None, Small Portion"
33,54,Other,Chennai,<₹20k,"Italian, Continental, Thai",Spicy Guava,Rum Punch,Occasionally,5,899.0,Yes,"Swiggy Ads, Instagram, Zomato",None
34,24,Female,Mumbai,₹80k+,Indian,Fruit Fizz,Rum Punch,Occasionally,5,827.0,No,"Swiggy Ads, Instagram, Friend Referral",Wrong Order
35,38,Male,Delhi,₹60k–80k,"Chinese, Indian",Fruit Fizz,Margarita,Rarely,3,701.0,No,"Swiggy Ads, Instagram, Friend Referral","High Price, Small Portion"
36,26,Other,Hyderabad,₹60k–80k,"Mexican, Chinese, Thai",Spicy Guava,Whiskey Sour,Occasionally,5,1183.0,No,"Google Search, Friend Referral","Late Delivery, Wrong Order"
37,56,Female,Delhi,<₹20k,"Indian, Mexican, Thai",Spicy Guava,Rum Punch,Rarely,2,1051.0,Yes,Instagram,Late Delivery
38,35,Male,Delhi,₹40k–60k,Indian,Minty Lime,Margarita,Occasionally,2,1159.0,No,"Zomato, Friend Referral","None, High Price"
39,21,Female,Mumbai,₹20k–40k,Indian,Virgin Mojito,Whiskey Sour,Rarely,1,894.0,No,Friend Referral,High Price
